trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime
1,1,0,1,0,2,2,1,0,0,NaN,2,0.5,2@,2@,1,1,4013.7853966,0.00852200000008452,2.18384076507164,3.79687140000033,4.71220760000006,2.52836683492842,5.29700290000028,5.88942635894455,3,1,0,1,1,1,6.88942635894455
2,1,0,1,0,2,2,1,0,2,NaN,1,0.15,4$,2@,0,0,4013.7853966,6.90272810000033,10.2359906184934,11.8330382000004,11.9993430000004,1.76335238150705,13.3331388000001,14.0016498502173,3,0.5,0.5,2,1,1,15.0016498502173
3,1,0,1,0,2,2,1,0,0,NaN,0,0.15,4$,4$,1,1,4013.7853966,15.0102305,17.443528420612,19.0356387000002,19.5382504000004,2.0947219793884,20.5357379000002,21.56034804415,3,0.666666666666667,0.333333333333333,2,2,1,22.56034804415
4,1,0,1,0,2,2,1,0,1,NaN,1,0.5,2@,2@,1,0,4013.7853966,22.5672532000003,27.3100623427831,28.8915438000004,30.1041657000001,2.79410335721695,30.3916326000003,31.1005959384629,3,0.75,0.25,3,2,0,32.1005959384629
5,1,0,1,0,2,2,1,0,2,NaN,0,0.5,2@,2@,1,1,4013.7853966,32.1094506000004,36.809110080038,38.4155941000004,39.2014724000001,2.3923623199621,39.9158901000001,40.747083654524,3,0.8,0.2,4,2,1,41.747083654524
6,1,0,1,0,2,2,1,0,0,NaN,1,0.35,4$,4$,1,1,4013.7853966,41.7516277000004,43.9850804284447,45.5568753000002,45.8224156000001,1.83733517155542,47.0569270000001,48.355586415893,3,0.833333333333333,0.166666666666667,5,2,1,49.355586415893
7,1,0,1,0,2,2,1,0,1,NaN,0,0.35,4$,2@,0,0,4013.7853966,49.3596156000003,51.6607249114145,53.2306501000003,53.7520940000004,2.09136908858591,54.7306894000003,55.6148844146105,3,0.714285714285714,0.285714285714286,6,2,1,56.6148844146105
8,1,0,1,0,2,2,1,0,0,NaN,2,0.5,2@,4$,0,0,4013.7853966,56.6322105000004,59.3443584577712,60.9146389000002,61.6686884000001,2.32432994222881,62.4146779000002,63.1151922466902,3,0.625,0.375,6,3,1,64.1151922466902
9,1,0,1,0,2,2,1,0,1,NaN,1,0.5,2@,4$,0,0,4013.7853966,64.1224447000004,66.9512953746666,68.5213740000004,68.7290739,1.77777852533336,70.0214141000001,71.0735994479605,3,0.555555555555556,0.444444444444444,6,4,1,72.0735994479605
10,1,0,1,0,2,2,1,0,2,NaN,2,0.35,4$,2@,0,1,4013.7853966,72.07978,74.5125150087551,76.0826020000004,76.5332689000002,2.02075389124502,77.5826530000004,78.6652904440002,3,0.5,0.5,6,5,0,79.6652904440002
11,1,0,1,0,2,2,1,0,0,NaN,1,0.35,4$,2@,0,0,4013.7853966,79.6701524,83.4999370326991,85.0702807000002,85.2275033000001,1.72756626730097,86.5703211000005,87.243183285786,3,0.454545454545455,0.545454545454545,6,6,1,88.243183285786
12,1,0,1,0,2,2,1,0,2,NaN,0,0.5,2@,2@,1,1,4013.7853966,88.2467204,91.5795858145734,93.1501838999998,93.9834553000005,2.40386948542709,94.6502221000005,95.4878084755514,3,0.5,0.5,6,7,1,96.4878084755514
13,1,0,1,0,2,2,1,0,1,NaN,2,0.15,4$,4$,1,1,4013.7853966,96.5024496999999,99.666911022558,101.237290600001,102.2030977,2.53618667744195,102.7373304,103.261868590409,3,0.538461538461538,0.461538461538462,7,7,1,104.261868590409
14,1,0,1,0,2,2,1,0,2,NaN,0,0.5,2@,2@,1,1,4013.7853966,104.2761825,107.052166198097,108.6223375,109.6905327,2.63836650190296,110.1223729,111.472189743395,3,0.571428571428571,0.428571428571429,8,7,1,112.472189743395
15,1,0,1,0,2,2,1,0,0,NaN,2,0.5,2@,4$,0,0,4013.7853966,112.4839706,115.585443782431,117.1554147,117.7742455,2.18880171756882,118.655456,119.189292660132,3,0.533333333333333,0.466666666666667,9,7,1,120.189292660132
16,1,0,1,0,2,2,1,0,1,NaN,1,0.5,2@,2@,1,1,4013.7853966,120.1928421,122.62003393528,124.190034100001,124.4118101,1.79177616471952,125.6900888,126.519213031592,3,0.5625,0.4375,9,8,1,127.519213031592
17,1,0,1,0,2,2,1,0,0,NaN,2,0.5,2@,2@,1,1,4013.7853966,127.5311936,131.230428129711,132.8012027,133.451798000001,2.22136987028989,134.3012421,135.44602510906,3,0.588235294117647,0.411764705882353,10,8,1,136.44602510906
18,1,0,1,0,2,2,1,0,1,NaN,0,0.35,4$,,NaN,NaN,4013.7853966,136.4561068,138.456865369255,140.0268563,141.4571186,NaN,141.5268994,142.733037011472,3,0.588235294117647,0.411764705882353,11,8,0,143.733037011472
19,1,0,1,0,2,2,1,0,0,NaN,1,0.35,4$,4$,1,1,4013.7853966,143.7460936,145.971773464459,147.542199,147.7687971,1.79702363554134,149.042239800001,149.95863579351,3,0.611111111111111,0.388888888888889,11,8,1,150.95863579351
20,1,0,1,0,2,2,1,0,2,NaN,2,0.35,4$,4$,1,0,4013.7853966,150.9695417,153.35809915548,154.9279737,155.368427800001,2.01032864452009,156.4280157,157.008280350431,3,0.631578947368421,0.368421052631579,12,8,0,158.008280350431
21,1,0,1,0,2,2,1,0,0,NaN,0,0.15,4$,4$,1,1,4013.7853966,158.026192,162.474386006579,164.0445113,165.1414582,2.66707219342152,165.5445574,166.958494532593,3,0.65,0.35,13,8,1,167.958494532593
22,1,0,1,0,2,2,1,0,2,NaN,1,0.15,4$,4$,1,1,4013.7853966,167.9686081,171.024427782708,172.5943689,172.879321,1.85489321729165,174.094408500001,175.221032993758,3,0.666666666666667,0.333333333333333,14,8,1,176.221032993758
